ZH	Abk. Kanton Zürich
BE	Abk. Kanton Bern
LU	Abk. Kanton Luzern
UR	Abk. Kanton Uri
SZ	Abk. Kanton Schwyz
OW	Abk. Kanton Obwalden
NW	Abk. Kanton Nidwalden
GL	Abk. Kanton Glarus
ZG	Abk. Kanton Zug
FR	Abk. Kanton Freiburg
SO	Abk. Kanton Solothurn
BS	Abk. Kanton Basel-Stadt
BL	Abk. Kanton Basel-Landschaft
SH	Abk. Kanton Schaffhausen
AR	Abk. Kanton Appenzell Ausserrhoden
AI	Abk. Kanton Appenzell Innerrhoden
SG	Abk. Kanton St.Gallen
GR	Abk. Kanton Graubünden
AG	Abk. Kanton Aargau
TG	Abk. Kanton Thurgau
TI	Abk. Kanton Ticino
VD	Abk. Kanton Vaud
VS	Abk. Kanton Wallis
NE	Abk. Kanton Neuchâtel
GE	Abk. Kanton Genève
JU	Abk. Kanton Jura
Zuerich	Kanton der Schweiz
Bern	Kanton der Schweiz
Berne	Kanton der Schweiz (frz.)
Luzern	Kanton der Schweiz
Uri	Kanton der Schweiz
Schwyz	Kanton der Schweiz
Obwalden	Kanton der Schweiz
Nidwalden	Kanton der Schweiz
Glarus	Kanton der Schweiz
Zug	Kanton der Schweiz
Fribourg	Kanton der Schweiz (frz.)
Freiburg	Kanton der Schweiz
Solothurn	Kanton der Schweiz
Basel	Doppel-Kanton der Schweiz
BaselStadt	Halbkanton der Schweiz
BaselLandschaft	Halbkanton der Schweiz
Schaffhausen	Kanton der Schweiz
Appenzell	Doppel-Kanton der Schweiz
Ausserrhoden	Halbkanton der Schweiz
Innerrhoden	Halbkanton der Schweiz
StGallen	Kanton der Schweiz
Graubünden	Kanton der Schweiz
Grigioni	Kanton der Schweiz (it.)
Grischun	Kanton der Schweiz (rät.)
Aargau	Kanton der Schweiz
Thurgau	Kanton der Schweiz
Tessin	Kanton der Schweiz
Ticino	Kanton der Schweiz (it.)
Vaud	Kanton der Schweiz
Valais	Kanton der Schweiz (frz.)
Wallis	Kanton der Schweiz
Neuchatel	Kanton der Schweiz (frz.)
Neuenburg	Kanton der Schweiz
Geneve	Kanton der Schweiz (frz.)
Genf	Kanton der Schweiz
Jura	Kanton der Schweiz
Aeugst am Albis	Gde. im Bez. Affoltern, Kt. Zürich
Aeugst	Gde. im Bez. Affoltern, Kt. Zürich
Affoltern am Albis	Gde. im Bez. Affoltern, Kt. Zürich
Affoltern	Gde. im Bez. Affoltern, Kt. Zürich
Bonstetten	Gde. im Bez. Affoltern, Kt. Zürich
Hausen am Albis	Gde. im Bez. Affoltern, Kt. Zürich
Hausen	Gde. im Bez. Affoltern, Kt. Zürich
Hedingen	Gde. im Bez. Affoltern, Kt. Zürich
Kappel am Albis	Gde. im Bez. Affoltern, Kt. Zürich
Kappel	Gde. im Bez. Affoltern, Kt. Zürich
Knonau	Gde. im Bez. Affoltern, Kt. Zürich
Maschwanden	Gde. im Bez. Affoltern, Kt. Zürich
Mettmenstetten	Gde. im Bez. Affoltern, Kt. Zürich
Obfelden	Gde. im Bez. Affoltern, Kt. Zürich
Ottenbach	Gde. im Bez. Affoltern, Kt. Zürich
Rifferswil	Gde. im Bez. Affoltern, Kt. Zürich
Stallikon	Gde. im Bez. Affoltern, Kt. Zürich
Wettswil am Albis	Gde. im Bez. Affoltern, Kt. Zürich
Wettswil	Gde. im Bez. Affoltern, Kt. Zürich
Adlikon	Gde. im Bez. Andelfingen, Kt. Zürich
Benken	Gde. im Bez. Andelfingen, Kt. Zürich
Berg am Irchel	Gde. im Bez. Andelfingen, Kt. Zürich
Buch am Irchel	Gde. im Bez. Andelfingen, Kt. Zürich
Berg	Gde. im Bez. Andelfingen, Kt. Zürich
Buch	Gde. im Bez. Andelfingen, Kt. Zürich
Dachsen	Gde. im Bez. Andelfingen, Kt. Zürich
Dorf	Gde. im Bez. Andelfingen, Kt. Zürich
Feuerthalen	Gde. im Bez. Andelfingen, Kt. Zürich
Flaach	Gde. im Bez. Andelfingen, Kt. Zürich
